source,target,value
Link to SOP,SOP,25
encountering UN,exposure & frequency,53
flexible access to UN,exposure & frequency,1
blurred boundaries and blended spaces,exposure & frequency,3
"combining vegetation, seating or benches, and platforms",diversity planning & public space functions,2
diverse urban public space,diversity planning & public space functions,1
urban streetscapes,diversity planning & public space functions,4
"creative, artistic urban design",diversity planning & public space functions,6
commercial business and festivities,diversity planning & public space functions,5
facilities,diversity planning & public space functions,2
seasonally changing vegetation of great aesthetic variety value,eco-nature system & naturalism aesthetic,13
water features landscape,eco-nature system & naturalism aesthetic,3
diverse urban nature types,diverse UN characters & multi-culture,2
"cultural themes, historic heritage landmarks",diverse UN characters & multi-culture,15
"spacious, low-density, open spaces",inclusive space design & physical activities,2
"vivid enjoyment, good atmospheres of interactions in UN",inclusive space design & physical activities,9
SOP,"Communication, Social interaction, social adaptation, Accuration,social integration",20
exposure & frequency,"Communication, Social interaction, social adaptation, Accuration,social integration",54
diversity planning & public space functions,"Communication, Social interaction, social adaptation, Accuration,social integration",16
eco-nature system & naturalism aesthetic,"Communication, Social interaction, social adaptation, Accuration,social integration",11
diverse UN characters & multi-culture,"Communication, Social interaction, social adaptation, Accuration,social integration",2
inclusive space design & physical activities,"Communication, Social interaction, social adaptation, Accuration,social integration",11
SOP,"Cultural and historical integration, and acculturation",2
exposure & frequency,"Cultural and historical integration, and acculturation",3
diversity planning & public space functions,"Cultural and historical integration, and acculturation",3
eco-nature system & naturalism aesthetic,"Cultural and historical integration, and acculturation",1
diverse UN characters & multi-culture,"Cultural and historical integration, and acculturation",15
inclusive space design & physical activities,"Cultural and historical integration, and acculturation",0
SOP,Accessibility and Walkability,3
exposure & frequency,Accessibility and Walkability,3
diversity planning & public space functions,Accessibility and Walkability,2
eco-nature system & naturalism aesthetic,Accessibility and Walkability,2
diverse UN characters & multi-culture,Accessibility and Walkability,0
inclusive space design & physical activities,Accessibility and Walkability,0
